app_name,downloads,average_rating,thirty_day_keep
Cardify,105707,4.95,94.73
Duobam,481340,4.88,84.09
Trippledex,81464,4.67,94.98
Veribet,205046,4.6,80.86
Span,533218,4.66,91.42
Greenlam,691552,4.96,70.98
DoubleyDo,990365,4.75,85.11
Prodder,170564,4.85,75.11
Cookley,498787,4.87,82.39
Flexidy,570023,4.88,72.86
Ronstring,709601,4.98,81.31
Cardonia,74369,4.7,81.62
Bitwolf,375372,4.96,85.44
Sonair,941836,4.78,72.88
Quo Lux,469201,4.99,71.52
Solarbreeze,276653,4.78,79.35
Transcof,654739,4.57,98.19
Veribot,867917,4.89,72.39
Zontrax,760672,4.81,82.64
Stim,750826,4.86,80.51
